year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1972,1973,ACTOR,Michael Caine,Sleuth,False,,,,,
1972,1973,ACTOR,Laurence Olivier,Sleuth,False,,1958.0,41.0,Hispano,Puerto Rico
1972,1973,ACTOR,Peter O'Toole,The Ruling Class,False,,,,,
1972,1973,ACTOR,Paul Winfield,Sounder,False,,,,,
1973,1974,ACTOR,Marlon Brando,Last Tango in Paris,False,,1953.0,30.0,Blanca,Rusia
1973,1974,ACTOR,Marlon Brando,Last Tango in Paris,False,,1071.0,48.0,Blanca,Estados Unidos
1973,1974,ACTOR,Jack Lemmon,Save the Tiger,True,,1972.0,48.0,Blanca,Australia
1973,1974,ACTOR,Jack Nicholson,The Last Detail,False,,1974.0,38.0,Blanca,Estados Unidos
1973,1974,ACTOR,Jack Nicholson,The Last Detail,False,,1996.0,38.0,Blanca,Estados Unidos
1973,1974,ACTOR,Al Pacino,Serpico,False,,1991.0,47.0,Afroamericana,Estados Unidos
1973,1974,ACTOR,Robert Redford,The Sting,False,,,,,
1974,1975,ACTOR,Art Carney,Harry and Tonto,True,,1973.0,55.0,Blanca,Estados Unidos
1974,1975,ACTOR,Albert Finney,Murder on the Orient Express,False,,,,,
1974,1975,ACTOR,Dustin Hoffman,Lenny,False,,1978.0,37.0,Blanca,Estados Unidos
1974,1975,ACTOR,Dustin Hoffman,Lenny,False,,1987.0,43.0,Blanca,Reino Unido
1974,1975,ACTOR,Jack Nicholson,Chinatown,False,,1974.0,38.0,Blanca,Estados Unidos
1974,1975,ACTOR,Jack Nicholson,Chinatown,False,,1996.0,38.0,Blanca,Estados Unidos
1974,1975,ACTOR,Al Pacino,The Godfather Part II,False,,1991.0,47.0,Afroamericana,Estados Unidos
1975,1976,ACTOR,Walter Matthau,The Sunshine Boys,False,,,,,
1975,1976,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True,,1974.0,38.0,Blanca,Estados Unidos
1975,1976,ACTOR,Jack Nicholson,One Flew over the Cuckoo's Nest,True,,1996.0,38.0,Blanca,Estados Unidos
1975,1976,ACTOR,Al Pacino,Dog Day Afternoon,False,,1991.0,47.0,Afroamericana,Estados Unidos
1975,1976,ACTOR,Maximilian Schell,The Man in the Glass Booth,False,,1960.0,41.0,Afroamericana,Estados Unidos
1975,1976,ACTOR,James Whitmore,"Give 'em Hell, Harry!",False,,,,,
